HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975
2414,CanadaQuebecLanaudière,Quebec,Lanaudière,2020-09-22 23:49:35.729563,2020-09-22 00:00:00.000000,0:40:19.607536,0.05618697,0.11709137,0.26396767,285,594,1340
2415,CanadaQuebecLaurentides,Quebec,Laurentides,2020-09-22 23:58:11.191025,2020-09-22 00:00:00.000000,0:48:53.618824,0.10025320,0.16683543,0.44750277,612,1019,2734
2413,CanadaQuebecLaval,Quebec,Laval,2020-09-22 23:52:07.760676,2020-09-22 00:00:00.000000,0:42:52.042207,0.14730093,0.30946061,0.66219490,637,1339,2866
2404,CanadaQuebecMauricie,Quebec,Mauricie,2020-09-17 12:07:27.436393,2020-09-17 00:00:00.000000,0:54:44.205925,0.01044900,0.02386029,0.07620466,53,123,393
2416,CanadaQuebecMontérégie,Quebec,Montérégie,2020-09-17 11:50:19.789546,2020-09-17 00:00:00.000000,0:38:15.451222,0.05404521,0.10529353,0.19951449,754,1470,2785
2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2020-09-23 00:03:06.146678,2020-09-23 00:00:00.000000,0:55:02.210095,0.00000000,0.00000000,0.00000000,0,0,0
2417,CanadaQuebecNunavik,Quebec,Nunavik,2020-09-22 23:27:52.837345,2020-09-22 00:00:00.000000,0:19:59.804460,0.00000033,0.00010690,0.00292039,0,0,0
2407,CanadaQuebecOutaouais,Quebec,Outaouais,2020-09-22 18:26:02.547058,2020-09-22 00:00:00.000000,0:38:10.236863,0.12894318,0.25684706,0.49920511,503,1003,1951
2402,CanadaQuebecSaguenay,Quebec,Saguenay,2020-09-23 00:26:48.057994,2020-09-23 00:00:00.000000,1:18:49.933590,0.00237986,0.00558122,0.01516803,6,15,42
2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-09-23 00:02:08.031707,2020-09-23 00:00:00.000000,0:54:09.429967,0.00474907,0.03004351,0.10646812,0,5,19
473,CanadaSaskatchewanCentral,Saskatchewan,Central,2020-09-23 00:23:02.457049,2020-09-23 00:00:00.000000,1:15:04.715274,0.00379621,0.01230341,0.02796063,3,12,27
471,CanadaSaskatchewanFarNorth,Saskatchewan,Far North,2020-09-22 23:34:41.681598,2020-09-22 00:00:00.000000,0:26:57.570455,0.00024952,0.00152160,0.01074659,0,0,4
472,CanadaSaskatchewanNorth,Saskatchewan,North,2020-09-22 23:34:24.946856,2020-09-22 00:00:00.000000,0:26:39.061517,0.00098049,0.00307470,0.01583663,1,6,31
475,CanadaSaskatchewanRegina,Saskatchewan,Regina,2020-09-22 23:36:27.408569,2020-09-22 00:00:00.000000,0:28:51.523553,0.01264859,0.01634818,0.02658159,37,49,79
474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 23:37:26.979627,2020-09-22 00:00:00.000000,0:29:58.794521,0.03698560,0.07469978,0.15297961,137,278,570
476,CanadaSaskatchewanSouth,Saskatchewan,South,2020-09-22 23:57:30.864794,2020-09-22 00:00:00.000000,0:50:08.621805,0.00007053,0.00144806,0.01058302,0,2,16
6001,CanadaYukonYukon,Yukon,Yukon,2020-09-22 23:26:05.255579,2020-09-22 00:00:00.000000,0:20:41.106362,0.00000000,0.00000000,0.00001913,0,0,0
0,CanadaAlberta,Alberta,,2020-09-23 00:02:40.991713,2020-09-23 00:00:00.000000,0:57:30.798453,0.09238090,0.16915653,0.44013528,4076,7465,19423
0,CanadaBritishColumbia,British Columbia,,2020-09-22 06:04:57.391175,2020-09-22 00:00:00.000000,1:06:05.440348,0.07569986,0.17681318,0.27475652,3868,9036,14042
0,CanadaManitoba,Manitoba,,2020-09-22 23:44:32.784924,2020-09-22 00:00:00.000000,0:39:26.266837,0.03223208,0.05267767,0.15315687,444,725,2109
0,CanadaNewBrunswick,New Brunswick,,2020-09-22 23:33:53.377791,2020-09-22 00:00:00.000000,0:28:51.559828,0.00025022,0.00074326,0.00160287,1,5,12
0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2020-09-22 23:31:58.956533,2020-09-22 00:00:00.000000,0:27:00.452898,0.00025902,0.00085357,0.00311707,1,4,16
0,CanadaOntario,Ontario,,2020-09-22 23:55:07.599664,2020-09-22 00:00:00.000000,0:50:12.340837,0.08635015,0.13948830,0.32667133,12703,20521,48059
0,CanadaPrinceEdwardIsland,Prince Edward Island,,2020-09-22 23:31:18.091740,2020-09-22 00:00:00.000000,0:26:22.649469,0.00000037,0.00005307,0.00130667,0,0,2
0,CanadaQuebec,Quebec,,2020-09-22 05:40:44.396846,2020-09-22 00:00:00.000000,0:43:46.050681,0.12415178,0.21150001,0.40699750,10599,18057,34748
0,CanadaSaskatchewan,Saskatchewan,,2020-09-22 05:58:38.037283,2020-09-22 00:00:00.000000,1:02:13.141973,0.01277704,0.02582169,0.04500530,150,305,531
0,CanadaNorthwestTerritories,Northwest Territories,,2020-09-22 04:12:44.997021,2020-09-22 00:00:00.000000,0:23:59.392911,0.00000000,0.00000000,0.00000000,0,0,0
0,CanadaYukon,Yukon,,2020-09-23 00:08:20.903176,2020-09-23 00:00:00.000000,1:04:49.878619,0.00000000,0.00000000,0.00000473,0,0,0
